Date,Time,X,Instagram,LinkedIn,Text,Hashtags,Link,Image Idea
14/09/2026,09:30,yes,yes,yes,"16 companies signed the Seoul Frontier AI Safety Commitments in May 2024 - the shared template for tying AI safeguards to capability thresholds. (Source: AI Seoul Summit)","#AI #AISafety #AIGovernance",https://report-ai.org/indexes/regulating-ai/controlling-ai-research-best-practices/,"16 company logos under a Seoul 2024 banner"
15/09/2026,09:30,yes,yes,yes,"Anthropic first activated its ASL-3 safety tier alongside Claude Opus 4 in May 2025 - as a precaution, before confirming the model had crossed the danger threshold. (Source: Anthropic)","#AI #AISafety #Anthropic",https://report-ai.org/indexes/regulating-ai/controlling-ai-research-best-practices/,"Biosafety-style dial clicking up to ASL-3"
16/09/2026,09:30,yes,yes,yes,"Graded on security, not smarts: Meta's open-weight Llama scores a D on weight security. Once weights are public they can't be recalled, monitored, or shut off. (Source: The AI Index, Model Security Ratings 2026)","#AI #AISecurity #OpenSource",https://report-ai.org/indexes/regulating-ai/ai-model-security-ratings-2026/,"Report-card grid with Llama weight-security cell marked D in red"
17/09/2026,09:30,yes,yes,yes,"On 9 July 2026 S&P cut Oracle to BBB- - one notch above junk - citing its AI build-out and heavy customer concentration. The most-leveraged bet of the boom. (Source: S&P Global Ratings)","#AI #Oracle #CreditRisk",https://report-ai.org/reports/dark-side-of-ai/ai-bubble-debt-not-equity/,"Credit-rating ladder with Oracle slipping to BBB- above a JUNK line"
18/09/2026,09:30,yes,yes,yes,"Morgan Stanley projects the AI build-out will need at least $1.5 trillion of debt financing through 2028 - roughly $800B of it from private credit. (Source: Morgan Stanley)","#AI #DataCenters #PrivateCredit",https://report-ai.org/reports/dark-side-of-ai/ai-bubble-debt-not-equity/,"Stacked bar to $1.5T, $800B slice shaded as private credit"
21/09/2026,09:30,yes,yes,yes,"A credit downgrade with a price tag: Wisconsin regulators ordered Oracle to post about $7 billion in collateral before powering a giant AI data center. (Source: Financial Times)","#AI #Oracle #DataCenters",https://report-ai.org/reports/dark-side-of-ai/ai-bubble-debt-not-equity/,"Data center with a $7B collateral padlock"
22/09/2026,09:30,yes,yes,yes,"Anthropic closed a $65B Series H on 28 May 2026 at a $965 billion post-money valuation - edging past OpenAI - on run-rate revenue it said had crossed $47B. (Source: Bloomberg / Anthropic)","#AI #Anthropic #Startups",https://report-ai.org/reports/dark-side-of-ai/ai-bubble-vs-2008-housing-crisis/,"Valuation bar hitting $965B with a $47B run-rate callout"
23/09/2026,09:30,yes,yes,yes,"OpenAI is sitting on roughly $1.4 trillion in chip and data-center commitments - the borrower at the center of the AI-bubble debate. (Source: CNBC / TipRanks)","#AI #OpenAI #AIBubble",https://report-ai.org/reports/dark-side-of-ai/ai-bubble-vs-2008-housing-crisis/,"Huge $1.4T weight labelled 'commitments' on a balance beam"
24/09/2026,09:30,yes,yes,yes,"Bain estimates AI needs $2 trillion in new annual revenue by 2030 to fund its projected compute - and is likely to fall about $800 billion short. (Source: Bain & Company)","#AI #AIEconomics #AIBubble",https://report-ai.org/reports/dark-side-of-ai/ai-bubble-vs-2008-housing-crisis/,"Gap chart: $2T needed vs revenue line, $800B shortfall shaded"
25/09/2026,09:30,yes,yes,yes,"The IMF warns a moderate correction in AI valuations, plus tighter financial conditions, could cut global output by 0.4% in 2026. (Source: IMF World Economic Outlook)","#AI #Economy #IMF",https://report-ai.org/reports/dark-side-of-ai/ai-bubble-vs-2008-housing-crisis/,"Downward 0.4% notch on a global GDP line"
28/09/2026,09:30,yes,yes,yes,"A Nikkei study puts the five AI hyperscalers' off-balance-sheet obligations at about $1.65 trillion - up roughly 8x since 2022, and now larger than their about $1.35T of reported debt. (Source: Nikkei Asia)","#AI #HiddenDebt #DataCenters",https://report-ai.org/reports/dark-side-of-ai/ai-hidden-debt-financing-risk/,"Iceberg: $1.35T debt above water, $1.65T obligations below"
29/09/2026,09:30,yes,yes,yes,"Meta's Hyperion data-center campus was financed with about $27B of debt through an SPV with Blue Owl - the largest private-credit transaction on record. (Source: Meta / Blue Owl)","#AI #PrivateCredit #DataCenters",https://report-ai.org/reports/dark-side-of-ai/ai-hidden-debt-financing-risk/,"Data center funded via an off-balance-sheet SPV pipe, $27B tag"
30/09/2026,09:30,yes,yes,yes,"In November 2025 Anthropic disclosed the first reported AI-orchestrated cyber-espionage campaign: a state-linked group wired Claude Code to run an estimated 80-90% of the tactical work against about 30 organizations. (Source: Anthropic)","#AI #Cybersecurity #AISafety",https://report-ai.org/reports/dark-side-of-ai/ai-autonomous-cyberattacks-defense/,"Dark map with 30 targets, '80-90% AI-run' overlay"
01/10/2026,09:30,yes,yes,yes,"AI can hunt bugs too. XBOW, an autonomous pen-testing system, topped HackerOne's leaderboard after submitting about 1,060 vulnerabilities in a year - the first time an AI outranked human bug hunters. (Source: Dark Reading)","#AI #Cybersecurity #BugBounty",https://report-ai.org/reports/dark-side-of-ai/ai-autonomous-cyberattacks-defense/,"Leaderboard with an AI bot at #1 above human hackers"
02/10/2026,09:30,yes,yes,yes,"The World Economic Forum has ranked mis- and disinformation the world's single most severe short-term global risk - ahead of extreme weather, war and inflation. (Source: WEF Global Risks Report 2024 & 2025)","#AI #Misinformation #Deepfakes",https://report-ai.org/indexes/ai-dark-side-statistics/ai-misinformation-election-manipulation-2026/,"Risk ranking chart with disinformation at #1"
05/10/2026,09:30,yes,yes,yes,"NewsGuard's count of 'unreliable AI-generated' news sites passed 1,000 in 2024, up from around 49 in May 2023 - synthetic news farms scaling in months. (Source: NewsGuard)","#AI #Misinformation #FakeNews",https://report-ai.org/indexes/ai-dark-side-statistics/ai-misinformation-election-manipulation-2026/,"Steep curve 49 -> 1,000+ AI news sites, 2023-2024"
06/10/2026,09:30,yes,yes,yes,"After an AI voice clone of President Biden told voters to stay home, the FCC proposed a roughly $6 million fine and declared AI voices in robocalls illegal. (Source: US FCC)","#AI #Deepfakes #Elections",https://report-ai.org/indexes/ai-dark-side-statistics/ai-misinformation-election-manipulation-2026/,"Phone handset with a synthetic waveform and a $6M fine stamp"
07/10/2026,09:30,yes,yes,yes,"The IMF estimates about 40% of global jobs are exposed to AI - rising toward 60% in advanced economies, where more work is cognitive and white-collar. (Source: IMF)","#AI #FutureOfWork #Jobs",https://report-ai.org/indexes/ai-dark-side-statistics/ai-jobs-bias-inequality-2026/,"Two gauges: 40% global, 60% advanced economies"
08/10/2026,09:30,yes,yes,yes,"The landmark Gender Shades study found commercial facial-analysis error rates up to about 34% for darker-skinned women - versus under 1% for lighter-skinned men. (Source: Buolamwini & Gebru)","#AI #AIBias #Ethics",https://report-ai.org/indexes/ai-dark-side-statistics/ai-jobs-bias-inequality-2026/,"Error-rate bars: 34% vs under 1%, split by group"
09/10/2026,09:30,yes,yes,yes,"PwC finds a growing wage premium - up to about 25% in some markets - for roles that demand AI skills. The upside is real, and unevenly shared. (Source: PwC Global AI Jobs Barometer)","#AI #FutureOfWork #Skills",https://report-ai.org/indexes/ai-dark-side-statistics/ai-jobs-bias-inequality-2026/,"Paycheck with a +25% AI-skills premium arrow"
12/10/2026,09:30,yes,yes,yes,"One company scraped an estimated 50 billion-plus faces off the open web into a single searchable database - no consent asked. (Source: Clearview AI)","#AI #Privacy #Surveillance",https://report-ai.org/indexes/ai-dark-side-statistics/ai-surveillance-privacy-2026/,"Wall of faces collapsing into one search bar, 50B+ counter"
13/10/2026,09:30,yes,yes,yes,"Italy's data regulator fined Clearview AI EUR 20M in 2022 and ordered it to delete Italian residents' biometric data - one of Europe's first big facial-recognition penalties. (Source: Garante)","#AI #Privacy #FacialRecognition",https://report-ai.org/indexes/ai-dark-side-statistics/ai-surveillance-privacy-2026/,"EUR 20M fine stamp over a blurred face grid"
14/10/2026,09:30,yes,yes,yes,"NIST found facial-recognition false-match rates often 10 to 100 times higher for Asian and Black faces than white faces. An error rate small in aggregate is not spread evenly. (Source: NIST)","#AI #AIBias #FacialRecognition",https://report-ai.org/indexes/ai-dark-side-statistics/ai-surveillance-privacy-2026/,"Bar chart of false-match rates by demographic, 10-100x gap"
15/10/2026,09:30,yes,yes,yes,"In December 2023 the UN General Assembly passed its first stand-alone resolution on lethal autonomous weapons - 152 states in favour, 4 against, 11 abstaining. (Source: UN General Assembly, Res. 78/241)","#AI #AutonomousWeapons #AISafety",https://report-ai.org/indexes/ai-dark-side-statistics/autonomous-weapons-catastrophic-ai-risk-2026/,"UN vote tally 152-4-11 on a assembly-hall backdrop"
16/10/2026,09:30,yes,yes,yes,"In May 2023 leading AI scientists declared that 'mitigating the risk of extinction from AI should be a global priority alongside pandemics and nuclear war.' (Source: Center for AI Safety)","#AI #AISafety #ExistentialRisk",https://report-ai.org/indexes/ai-dark-side-statistics/autonomous-weapons-catastrophic-ai-risk-2026/,"One-line statement card, AI beside pandemic and nuclear icons"
19/10/2026,09:30,yes,yes,yes,"The 2026 AI frontier is a photo-finish. On the Artificial Analysis Intelligence Index (July 2026), OpenAI's GPT-5.6 Sol holds the top composite score at 58.9. (Source: Artificial Analysis)","#AI #LLM #Benchmarks",https://report-ai.org/indexes/technical-performance/best-ai-models-2026/,"Leaderboard with GPT-5.6 Sol at 58.9 on top"
20/10/2026,09:30,yes,yes,yes,"For coding, Claude Opus 4.8 leads the SWE-bench Pro board at 69.2% - the reference model for agentic coding in mid-2026. (Source: SWE-bench)","#AI #Coding #Claude",https://report-ai.org/indexes/technical-performance/best-ai-models-2026/,"SWE-bench Pro bar with Claude Opus 4.8 at 69.2%"
21/10/2026,09:30,yes,yes,yes,"Google's Gemini 3.1 Pro pairs a 2M-token context window with the field's best multimodal scores - MMMU-Pro 81.0% and GPQA Diamond 94.3%. (Source: Google DeepMind / Artificial Analysis)","#AI #Gemini #Multimodal",https://report-ai.org/indexes/technical-performance/best-ai-models-2026/,"2M-token ruler beside multimodal score badges"
22/10/2026,09:30,yes,yes,yes,"Near-frontier reasoning for cents: DeepSeek's MIT-licensed V4-Pro posts MMLU-Pro 87.5 at roughly $0.87 per million output tokens. (Source: DeepSeek / NIST CAISI)","#AI #DeepSeek #OpenSource",https://report-ai.org/indexes/technical-performance/best-ai-models-2026/,"Price-vs-score scatter with V4-Pro in the value corner"
