Where it appears,Key,English source,Current Arabic,Better Arabic (fill in)
Registration panel / calendar,batch_weekend,Weekend batch,الاوقات خلال عطلة نهايه الاسبوع,
Registration panel / calendar,batch_morning,Weekday morning batch,دورة صباحية في أيام الأسبوع,
Registration panel / calendar,batch_after,Weekday afternoon batch,دورة بعد الظهر في أيام الأسبوع,
Registration panel / calendar,batch_evening,Evening batch,دورة مسائية,
Registration panel / calendar,back_to,Back to,العودة إلى,
Registration panel / calendar,training,Training,التدريب,
Registration panel / calendar,live_online,Live online,مباشر عبر الإنترنت,
Registration panel / calendar,exam_inc_full,(UNUSED - no code reads this key),رسوم الامتحان مشمولة,
Confirmation email + invoice,subject,"You are registered — %1$s, %2$s",تم تأكيد تسجيلك — %1$s، %2$s,
Confirmation email + invoice,hi,"Hi %s,",مرحبًا %s،,
Confirmation email + invoice,hi_plain,"Hi,",مرحبًا،,
Confirmation email + invoice,lede,Your place is confirmed. Here are the details.,تم تأكيد مقعدك. إليك التفاصيل.,
Confirmation email + invoice,course,Course,الدورة,
Confirmation email + invoice,dates,Dates,التواريخ,
Confirmation email + invoice,seats,Seats,المقاعد,
Confirmation email + invoice,paid,Paid,المبلغ المدفوع,
Confirmation email + invoice,next_h,What happens next,الخطوات التالية,
Confirmation email + invoice,next_p,Your joining link and any pre-course material will be sent to this address before the class starts.,سنرسل إلى هذا البريد رابط الحضور وأي مواد تحضيرية قبل بداية الدورة.,
Confirmation email + invoice,move_h,Need to move dates?,تحتاج إلى تغيير التواريخ؟,
Confirmation email + invoice,move_p,Reply to this email and we will move you to another cohort. Rescheduling carries no fee.,ردّ على هذه الرسالة وسننقلك إلى دورة أخرى. إعادة الجدولة بدون رسوم.,
Confirmation email + invoice,receipt,Your invoice is below. Keep it for your records.,فاتورتك موضحة أدناه. يُرجى الاحتفاظ بها في سجلاتك.,
Confirmation email + invoice,invoice,Invoice,فاتورة,
Confirmation email + invoice,order_no,Order,الطلب,
Confirmation email + invoice,order_date,Order date,تاريخ الطلب,
Confirmation email + invoice,status_l,Status,الحالة,
Confirmation email + invoice,delivery,Delivery method,طريقة التسليم,
Confirmation email + invoice,eticket,eTicket,تذكرة إلكترونية,
Confirmation email + invoice,paid_by,Paid by,طريقة الدفع,
Confirmation email + invoice,invoice_to,Invoice to,الفاتورة إلى,
Confirmation email + invoice,qty,Qty,الكمية,
Confirmation email + invoice,description,Description,الوصف,
Confirmation email + invoice,unit_price,Unit price,سعر الوحدة,
Confirmation email + invoice,line_total,Line total,إجمالي البند,
Confirmation email + invoice,subtotal,Subtotal,المجموع الفرعي,
Confirmation email + invoice,sales_tax,Sales tax,الضريبة,
Confirmation email + invoice,total_l,Total,الإجمالي,
Confirmation email + invoice,completed,Completed,مكتمل,
Confirmation email + invoice,currency_note,All prices are in %s.,جميع الأسعار بعملة %s.,
Confirmation email + invoice,view_invoice,View or print your invoice,عرض الفاتورة أو طباعتها,
Confirmation email + invoice,paid_h,Payment received,تم استلام الدفعة,
Confirmation email + invoice,pending,We are confirming your registration. This takes a few seconds.,نؤكّد تسجيلك الآن. يستغرق ذلك بضع ثوانٍ.,
Confirmation email + invoice,pending_slow,Your payment went through. Your confirmation is on its way by email — you can close this page.,تمت عملية الدفع بنجاح. سيصلك التأكيد بالبريد الإلكتروني — يمكنك إغلاق هذه الصفحة.,
Confirmation email + invoice,confirmed_eyebrow,Registration confirmed,تم تأكيد التسجيل,
Confirmation email + invoice,confirmed_h,"You are registered, %s.",تم تسجيلك، %s.,
Confirmation email + invoice,confirmed_p,We have emailed the details and your invoice to %s.,أرسلنا التفاصيل والفاتورة إلى %s.,
Confirmation email + invoice,print,Print this page,طباعة هذه الصفحة,
Home page chrome,eyebrow,On this page,في هذه الصفحة,
Home page chrome,nav_cta,Browse certifications,استعرض الشهادات,
Home page chrome,training,Training,التدريب,
Home page chrome,assessments,Assessments,التقييمات,
Home page chrome,why,Why us,لماذا نحن,
Home page chrome,methodology,Methodology,المنهجية,
Home page chrome,consulting,Consulting,الاستشارات,
Home page chrome,results,Results,النتائج,
Home page chrome,path,Your path,مسارك,
Home page chrome,coaching,Coaching,الإرشاد المهني,
Home page chrome,tablist,Certification tracks,مسارات الشهادات,
Home page chrome,count,%d certifications,%d شهادات,
Home page chrome,track_cta,View the track,عرض المسار,
Training track: adv-safe,label,Advanced SAFe,SAFe المتقدّم,
Training track: adv-safe,kicker,Senior roles,الأدوار القيادية,
Training track: adv-safe,title,Advanced SAFe certification,شهادات SAFe المتقدّمة,
Training track: adv-safe,accent,for the senior seat.,للمقعد القيادي.,
Training track: adv-safe,sub,"SPC, ASPC, RTE, LPM, APM, SAFe Architect and Large Solution SAFe, taught live online by a Gold SPCT with the exam fee included. These are the credentials enterprises screen for when they are hiring someone to lead a transformation rather than take part in one.",SPC وASPC وRTE وLPM وAPM وSAFe Architect وLarge Solution SAFe، تُدرَّس مباشرة عبر الإنترنت على يد مدرّب Gold SPCT مع رسوم الامتحان مشمولة. هذه هي الشهادات التي تبحث عنها المؤسسات الكبرى حين توظّف شخصًا ليقود تحوّلًا لا ليشارك فيه.,
Training track: adv-safe,comp,Live online · exam fee included · reschedule at no fee.,مباشر عبر الإنترنت · الامتحان مشمول · تغيير الموعد بدون رسوم.,
Training track: adv-safe,points,2–4 days | Exam fee included | Reschedule at no fee,2–4 أيام | الامتحان مشمول | تغيير الموعد بدون رسوم,
Training track: safe-roles,label,Core SAFe Roles,أدوار SAFe الأساسية,
Training track: safe-roles,kicker,Start here,ابدأ من هنا,
Training track: safe-roles,title,SAFe certification,شهادات SAFe,
Training track: safe-roles,accent,by role.,حسب الدور.,
Training track: safe-roles,sub,"Leading SAFe, SAFe Scrum Master, Product Owner / Product Manager, Advanced Scrum Master, DevOps, SAFe for Teams and Business Owner. Most run two days live online with the exam fee included, so you can sit the exam and be certified inside the same week.",Leading SAFe وSAFe Scrum Master وProduct Owner / Product Manager وAdvanced Scrum Master وDevOps وSAFe for Teams وBusiness Owner. معظمها يومان مباشرة عبر الإنترنت مع رسوم الامتحان مشمولة، فتتقدّم للامتحان وتحصل على الشهادة في الأسبوع نفسه.,
Training track: safe-roles,comp,Two days · exam fee included · reschedule at no fee.,يومان · الامتحان مشمول · تغيير الموعد بدون رسوم.,
Training track: safe-roles,points,Two days | Exam fee included | Certified this week,يومان | الامتحان مشمول | شهادتك هذا الأسبوع,
Training track: ai-native,kicker,New for 2026,جديد لعام 2026,
Training track: ai-native,title,AI-Native certification,شهادات AI-Native,
Training track: ai-native,accent,for the roles being hired now.,للأدوار التي يجري توظيفها الآن.,
Training track: ai-native,sub,"AI-Native Foundations, AI-Native Value Architect and Leading the AI-Native Organization — three certifications for roles that did not exist two years ago and are on job boards today. Built for the people who lead the work, so no coding is required.",AI-Native Foundations وAI-Native Value Architect وLeading the AI-Native Organization — ثلاث شهادات لأدوار لم تكن موجودة قبل عامين وهي اليوم في إعلانات التوظيف. مصمّمة لمن يقودون العمل، فلا حاجة إلى البرمجة.,
Training track: ai-native,comp,In person and live online · exam fee included.,حضوريًا ومباشرة عبر الإنترنت · الامتحان مشمول.,
Training track: ai-native,points,1–2 days | No coding required | In person or live online,يوم إلى يومين | لا حاجة للبرمجة | حضوريًا أو عبر الإنترنت,
Training track: safe-found,label,Micro-credentials,الشهادات المصغّرة,
Training track: safe-found,kicker,"One day, one skill",يوم واحد، مهارة واحدة,
Training track: safe-found,title,SAFe micro-credentials,شهادات SAFe المصغّرة,
Training track: safe-found,accent,in a single day.,في يوم واحد.,
Training track: safe-found,sub,"One-day credentials that sit between the full certifications, each going deep on one skill and carrying a digital badge issued by Scaled Agile. Book one, add the specialisation, and be back at your desk tomorrow.",شهادات من يوم واحد تقع بين الشهادات الكاملة، تتعمّق كل منها في مهارة واحدة وتمنح شارة رقمية صادرة عن Scaled Agile. احجز واحدة، أضف التخصّص، وعُد إلى مكتبك في اليوم التالي.,
Training track: safe-found,comp,One day · digital badge issued by Scaled Agile.,يوم واحد · شارة رقمية صادرة عن Scaled Agile.,
Training track: safe-found,points,One day | Digital badge | No exam to revise for,يوم واحد | شارة رقمية | بلا امتحان للمراجعة,
Training track: safe-industry,label,SAFe by Industry,SAFe حسب القطاع,
Training track: safe-industry,kicker,Your sector,قطاعك,
Training track: safe-industry,title,SAFe training,تدريب SAFe,
Training track: safe-industry,accent,for your industry.,لقطاعك.,
Training track: safe-industry,sub,"Government, defence, hardware and regulated delivery — the same SAFe certifications, taught against the contracts, compliance and approval gates your sector works under. Delivered by instructors who have run these programmes inside them.",القطاع الحكومي والدفاع والأجهزة والتسليم الخاضع للتنظيم — الشهادات نفسها، لكن تُدرَّس في ضوء العقود ومتطلبات الامتثال وبوابات الاعتماد التي يعمل بها قطاعك. يقدّمها مدرّبون أداروا هذه البرامج من الداخل.,
Training track: safe-industry,comp,Live online and in person · exam fee included.,مباشر عبر الإنترنت وحضوريًا · الامتحان مشمول.,
Training track: safe-industry,points,Sector-specific | Exam fee included | In person available,مخصّص للقطاع | الامتحان مشمول | الحضور متاح,
Navigation menu,Home,Home,الرئيسية,
Navigation menu,Training,Training,التدريب,
Navigation menu,Courses,Courses,الدورات,
Navigation menu,Services,Services,الخدمات,
Navigation menu,Assessments,Assessments,التقييمات,
Navigation menu,About,About,من نحن,
Navigation menu,Contact,Contact,اتصل بنا,
Navigation menu,Customers,Customers,عملاؤنا,
Navigation menu,Blog,Blog,المدونة,
Navigation menu,FAQ,FAQ,الأسئلة الشائعة,
Navigation menu,Global Offices,Global Offices,مكاتبنا,
Navigation menu,Send us a message,Send us a message,راسلنا,
Navigation menu,Agile Career Selector,Agile Career Selector,مُحدِّد المسار المهني,
Navigation menu,Digital Transformation,Digital Transformation,التحول الرقمي,
Navigation menu,Innovation Culture,Innovation Culture,ثقافة الابتكار,
Navigation menu,Product Operating Model,Product Operating Model,نظام التشغيل للمنتجات,
Navigation menu,Operating Model in the Age of AI,Operating Model in the Age of AI,نظام التشغيل في عصر الذكائ الاصطناعي,
Navigation menu,Conflict & Collaboration,Conflict & Collaboration,الصراع والتعاون,
Navigation menu,Achieving Responsible AI,Achieving Responsible AI,الذكاء الاصطناعي الذي يمكنك الوثوق به,
Navigation menu,Agile Maturity,Agile Maturity,تحديد مستوى المعرفة عن Agile,
Navigation menu,AI Automation,AI Automation,الأتمتة بالذكاء الاصطناعي,
